Usuario,Recall,Precision,F1,Películas Malas,Dirección,Pesos
Valentina,1.0,0.8,0.888888888888889,1,similar,"[0.9, 0.1]"
Rodrigo,0.3333333333333333,0.6,0.42857142857142855,2,similar,"[0.7, 0.3]"
Camila,1.0,0.8,0.888888888888889,1,similar,"[0.8, 0.2]"
Tomás,1.0,0.8,0.888888888888889,1,similar,"[0.9, 0.1]"
Lucía,1.0,0.6,0.7499999999999999,2,similar,"[0.7, 0.3]"
Martín,0.6666666666666666,0.4,0.5,3,similar,"[0.9, 0.1]"
Sofía,0.6666666666666666,0.6,0.631578947368421,2,similar,"[0.8, 0.2]"
Diego,0.6666666666666666,0.6,0.631578947368421,2,similar,"[0.9, 0.1]"
Elena,0.6666666666666666,0.8,0.7272727272727272,1,similar,"[0.8, 0.2]"
