Usuario,Recall,Precision,F1,Películas Malas,Dirección,Pesos
Valentina,1.0,0.8,0.888888888888889,1,top-5,"[0.7, 0.3]"
Rodrigo,0.3333333333333333,0.8,0.47058823529411764,1,top-5,"[0.1, 0.9]"
Camila,0.3333333333333333,1.0,0.5,0,top-5,"[0.7, 0.3]"
Tomás,0.6666666666666666,0.8,0.7272727272727272,1,top-5,"[0.1, 0.9]"
Lucía,1.0,0.6,0.7499999999999999,2,top-5,"[0.7, 0.3]"
Martín,1.0,1.0,1.0,0,top-5,"[0.7, 0.3]"
Sofía,1.0,0.8,0.888888888888889,1,top-5,"[0.7, 0.3]"
Diego,0.6666666666666666,1.0,0.8,0,top-5,"[0.7, 0.3]"
Elena,0.3333333333333333,0.6,0.42857142857142855,2,top-5,"[0.7, 0.3]"
